Title,Subtitle,Price,URL,Image URL
Nike Solo Swoosh,Pantalon de survêtement pour Homme,175 $,https://www.nike.com/ca/fr/t/pantalon-de-survetement-solo-swoosh-pour-Nf7M0g/FB8620-010,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike SB,Pantalon de skateboard EI Jeano pour homme,240 $,https://www.nike.com/ca/fr/t/pantalon-de-skateboard-el-jeano-sb-pour-73c7Qf/FZ7007-493,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Sportswear Club,Pantalon de jogging pour Homme,80 $,https://www.nike.com/ca/fr/t/pantalon-de-jogging-sportswear-club-pour-FcQ46n/BV2679-410,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Club,Pantalon cargo pour Homme,115 $,https://www.nike.com/ca/fr/t/pantalon-cargo-club-pour-7g3VJK/FZ5765-010,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Max90,T-shirt de basketball pour homme,55 $,https://www.nike.com/ca/fr/t/t-shirt-de-basketball-max90-pour-szR3HB/FZ8081-010,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Sportswear Tech Fleece Windrunner,Sweat à capuche et zip pour homme,"122,99 $175 $",https://www.nike.com/ca/fr/t/sweat-a-capuche-et-zip-sportswear-tech-fleece-windrunner-pour-XGC5Gr/FB7921-440,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Solo Swoosh,Sweat en tissu Fleece pour Homme,110 $,https://www.nike.com/ca/fr/t/haut-en-tissu-fleece-solo-swoosh-pour-TKDGzc/DX1361-010,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Solo Swoosh,Haut épais à manches courtes pour homme,68 $,https://www.nike.com/ca/fr/t/haut-epais-a-manches-courtes-solo-swoosh-pour-Vx63jh/FB7865-010,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Club,Short Flow tissé pour homme,64 $,https://www.nike.com/ca/fr/t/short-flow-tisse-club-pour-QQNZ21/FN3307-675,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
Nike Life,Veste à zip non doublée pour homme,250 $,https://www.nike.com/ca/fr/t/veste-a-zip-non-doublee-life-pour-5nFzqp/FZ6575-200,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
